ID,Pay Period Start Date,Pay Period End Date,Payday,All Payroll Transactions Due
1,01-01-2024,01-14-2024,01-19-2024,01-14-2024
2,01-15-2024,01-28-2024,02-02-2024,01-28-2024
3,01-29-2024,02-11-2024,02-16-2024,02-11-2024
4,02-12-2024,02-25-2024,03-01-2024,02-25-2024
5,02-26-2024,03-10-2024,03-15-2024,03-10-2024
6,03-11-2024,03-24-2024,03-29-2024,03-24-2024
7,03-25-2024,04-07-2024,04-12-2024,04-07-2024
8,04-08-2024,04-21-2024,04-26-2024,04-21-2024
9,04-22-2024,05-05-2024,05-10-2024,05-05-2024
10,05-06-2024,05-19-2024,05-24-2024,05-19-2024
11,05-20-2024,06-02-2024,06-07-2024,06-02-2024
12,06-03-2024,06-16-2024,06-21-2024,06-16-2024
13,06-17-2024,06-30-2024,07-05-2024,06-30-2024
14,07-01-2024,07-14-2024,07-19-2024,07-14-2024
15,07-15-2024,07-28-2024,08-02-2024,07-28-2024
16,07-29-2024,08-11-2024,08-16-2024,08-11-2024
17,08-12-2024,08-25-2024,08-30-2024,08-25-2024
18,08-26-2024,09-08-2024,09-13-2024,09-08-2024
19,09-09-2024,09-22-2024,09-27-2024,09-22-2024
20,09-23-2024,10-06-2024,10-11-2024,10-06-2024
21,10-07-2024,10-20-2024,10-25-2024,10-20-2024
22,10-21-2024,11-03-2024,11-08-2024,11-03-2024
23,11-04-2024,11-17-2024,11-22-2024,11-17-2024
24,11-18-2024,12-01-2024,12-06-2024,12-01-2024
25,12-02-2024,12-15-2024,12-20-2024,12-15-2024
26,12-16-2024,12-29-2024,01-03-2025,12-29-2024
